image_name,object_class,vehicle_lat,vehicle_lon,vehicle_heading_deg,target_range_m,target_azimuth_deg,target_lat,target_lon,bbox_xmin,bbox_ymin,bbox_xmax,bbox_ymax,split
00001.xml,human body,18.922,72.8347,90.0,15.56,21.01,18.92195,72.834838,726,429,776,500,UATD Training
00002.xml,human body,18.922,72.834738,90.0,15.28,22.68,18.921947,72.834872,712,418,828,492,UATD Training
00003.xml,human body,18.922,72.834776,90.0,15.06,23.12,18.921947,72.834907,698,423,852,472,UATD Training
00004.xml,human body,18.922,72.834814,90.0,12.08,15.82,18.92197,72.834924,646,301,738,390,UATD Training
00005.xml,human body,18.922,72.834852,90.0,11.67,16.08,18.921971,72.834958,634,281,756,382,UATD Training
00006.xml,human body,18.922,72.83489,90.0,10.51,15.82,18.921974,72.834986,642,242,742,341,UATD Training
00007.xml,human body,18.922,72.834928,90.0,17.77,1.67,18.921995,72.835096,480,504,582,576,UATD Training
00008.xml,human body,18.922,72.834966,90.0,17.01,-4.75,18.922013,72.835127,410,477,506,551,UATD Training
00009.xml,human body,18.922,72.835004,90.0,15.54,-6.33,18.922015,72.83515,394,406,486,522,UATD Training
00010.xml,human body,18.922,72.835042,90.0,15.77,-4.57,18.922011,72.835191,428,419,492,525,UATD Training
00011.xml,human body,18.922,72.83508,90.0,15.69,-5.54,18.922014,72.835228,408,432,490,506,UATD Training
00012.xml,human body,18.922,72.835118,90.0,15.91,-3.78,18.922009,72.835268,434,444,504,509,UATD Training
00013.xml,human body,18.922,72.835156,90.0,16.46,-2.9,18.922008,72.835312,444,464,514,527,UATD Training
00014.xml,human body,18.922,72.835194,90.0,16.26,-2.9,18.922007,72.835348,440,456,518,521,UATD Training
00015.xml,human body,18.922,72.835232,90.0,16.74,-3.78,18.92201,72.83539,412,473,526,537,UATD Training
00016.xml,human body,18.922,72.83527,90.0,14.65,6.15,18.921986,72.835408,546,369,618,498,UATD Training
00017.xml,human body,18.922,72.835308,90.0,15.61,2.72,18.921993,72.835456,498,416,588,517,UATD Training
00018.xml,human body,18.922,72.835346,90.0,16.8,5.98,18.921984,72.835504,510,461,650,553,UATD Training
00019.xml,human body,18.922,72.835383,90.0,17.66,4.75,18.921987,72.835551,528,501,604,572,UATD Training
00020.xml,human body,18.922,72.835421,90.0,19.03,-2.55,18.922008,72.835602,456,539,510,628,UATD Training
00021.xml,human body,18.922,72.835459,90.0,18.93,0.88,18.921997,72.835639,490,543,554,617,UATD Training
00022.xml,human body,18.922,72.835497,90.0,17.89,-1.67,18.922005,72.835667,458,506,528,583,UATD Training
00023.xml,human body,18.922,72.835535,90.0,17.85,-5.62,18.922016,72.835704,396,515,500,571,UATD Training
00024.xml,human body,18.922,72.835573,90.0,18.3,-2.55,18.922007,72.835747,426,525,540,592,UATD Training
00025.xml,human body,18.922,72.835611,90.0,18.01,1.58,18.921996,72.835782,462,514,598,582,UATD Training
00026.xml,human body,18.922,72.835649,90.0,17.15,-4.13,18.922011,72.835812,418,481,512,556,UATD Training
00027.xml,human body,18.922,72.835687,90.0,17.56,-1.32,18.922004,72.835854,448,500,546,565,UATD Training
00028.xml,human body,18.922,72.835725,90.0,18.07,-0.18,18.922,72.835897,464,511,556,589,UATD Training
00029.xml,human body,18.922,72.835763,90.0,18.24,-1.05,18.922003,72.835936,448,521,552,592,UATD Training
00030.xml,human body,18.922,72.835801,90.0,19.22,-1.93,18.922006,72.835984,464,556,516,624,UATD Training
00031.xml,human body,18.922,72.835839,90.0,18.77,-2.81,18.922008,72.836017,450,546,510,603,UATD Training
00032.xml,human body,18.922,72.835877,90.0,19.2,-0.09,18.922,72.836059,482,554,540,625,UATD Training
00033.xml,human body,18.922,72.835915,90.0,18.96,1.58,18.921995,72.836095,498,543,562,619,UATD Training
00034.xml,human body,18.922,72.835953,90.0,18.61,1.67,18.921995,72.83613,496,533,566,605,UATD Training
00035.xml,human body,18.922,72.835991,90.0,17.71,-3.69,18.92201,72.836159,440,498,500,579,UATD Training
00036.xml,human body,18.922,72.836029,90.0,18.3,-1.93,18.922006,72.836203,432,525,548,592,UATD Training
00037.xml,human body,18.922,72.836067,90.0,15.91,-4.13,18.92201,72.836218,418,436,512,517,UATD Training
00038.xml,human body,18.922,72.836105,90.0,16.18,-4.75,18.922012,72.836258,426,449,490,523,UATD Training
00039.xml,human body,18.922,72.836143,90.0,16.1,-5.54,18.922014,72.836295,416,440,482,526,UATD Training
00040.xml,human body,18.922,72.836181,90.0,15.85,-4.48,18.922011,72.836331,440,441,482,508,UATD Training
00041.xml,human body,18.922,72.836219,90.0,15.72,-3.96,18.92201,72.836368,434,436,500,504,UATD Training
00042.xml,human body,18.922,72.836257,90.0,16.08,-8.53,18.922022,72.836408,386,444,444,521,UATD Training
00043.xml,human body,18.922,72.836295,90.0,15.98,-8.0,18.92202,72.836445,392,443,450,515,UATD Training
00044.xml,human body,18.922,72.836333,90.0,15.64,-6.86,18.922017,72.83648,406,429,462,506,UATD Training
00045.xml,human body,18.922,72.836371,90.0,15.96,-9.05,18.922023,72.83652,380,444,438,513,UATD Training
00046.xml,human body,18.922,72.836409,90.0,15.73,-7.82,18.922019,72.836557,392,433,454,508,UATD Training
00047.xml,human body,18.922,72.836447,90.0,15.8,-8.35,18.922021,72.836595,386,432,448,514,UATD Training
00048.xml,human body,18.922,72.836485,90.0,15.45,-8.26,18.92202,72.83663,392,428,444,494,UATD Training
00049.xml,human body,18.922,72.836523,90.0,15.89,-8.0,18.92202,72.836672,396,437,446,515,UATD Training
00050.xml,human body,18.922,72.836561,90.0,16.02,-10.46,18.922026,72.83671,370,440,416,521,UATD Training
00051.xml,human body,18.922,72.836599,90.0,15.61,-8.79,18.922022,72.836745,392,427,432,506,UATD Training
00052.xml,human body,18.922,72.836637,90.0,15.61,-8.61,18.922021,72.836783,390,420,438,513,UATD Training
00053.xml,human body,18.922,72.836675,90.0,15.54,-9.05,18.922022,72.83682,386,427,432,501,UATD Training
00054.xml,human body,18.922,72.836713,90.0,15.44,-8.88,18.922022,72.836857,390,424,432,497,UATD Training
00055.xml,human body,18.922,72.83675,90.0,15.1,-9.14,18.922022,72.836892,386,404,430,494,UATD Training
00056.xml,human body,18.922,72.836788,90.0,14.88,-9.67,18.922023,72.836928,370,395,434,488,UATD Training
00057.xml,human body,18.922,72.836826,90.0,15.13,-9.32,18.922022,72.836968,376,408,436,492,UATD Training
00058.xml,human body,18.922,72.836864,90.0,14.9,-8.26,18.922019,72.837004,390,403,446,481,UATD Training
00059.xml,human body,18.922,72.836902,90.0,14.93,-9.67,18.922023,72.837042,378,410,426,476,UATD Training
00060.xml,human body,18.922,72.83694,90.0,15.12,-9.4,18.922022,72.837082,382,414,428,485,UATD Training
00061.xml,human body,18.922,72.836978,90.0,15.19,-8.26,18.92202,72.837121,392,414,444,490,UATD Training
00062.xml,human body,18.922,72.837016,90.0,15.07,-9.84,18.922023,72.837157,374,407,426,489,UATD Training
00063.xml,human body,18.922,72.837054,90.0,15.23,-8.17,18.92202,72.837197,398,419,440,488,UATD Training
00064.xml,human body,18.922,72.837092,90.0,14.87,-8.7,18.92202,72.837232,384,404,442,478,UATD Training
00065.xml,human body,18.922,72.83713,90.0,15.38,-8.88,18.922021,72.837274,390,427,432,490,UATD Training
00066.xml,human body,18.922,72.837168,90.0,15.67,-8.09,18.92202,72.837315,384,431,456,506,UATD Training
00067.xml,human body,18.922,72.837206,90.0,15.51,-10.11,18.922025,72.837351,360,433,434,493,UATD Training
00068.xml,human body,18.922,72.837244,90.0,16.01,-7.65,18.922019,72.837395,394,445,456,515,UATD Training
00069.xml,human body,18.922,72.837282,90.0,15.28,-7.91,18.922019,72.837426,394,416,450,494,UATD Training
00070.xml,human body,18.922,72.83732,90.0,15.31,-8.26,18.92202,72.837464,390,419,446,493,UATD Training
00071.xml,human body,18.922,72.837358,90.0,15.67,-7.47,18.922018,72.837506,398,431,456,506,UATD Training
00072.xml,human body,18.922,72.837396,90.0,15.64,-6.86,18.922017,72.837543,402,439,466,496,UATD Training
00073.xml,human body,18.922,72.837434,90.0,14.83,-7.47,18.922017,72.837574,398,402,456,477,UATD Training
00074.xml,human body,18.922,72.837472,90.0,15.72,-6.86,18.922017,72.83762,406,432,462,508,UATD Training
00075.xml,human body,18.922,72.83751,90.0,15.21,-6.86,18.922016,72.837653,406,416,462,489,UATD Training
00076.xml,human body,18.922,72.837548,90.0,15.16,-7.73,18.922018,72.837691,396,420,452,482,UATD Training
00077.xml,human body,18.922,72.837586,90.0,15.06,-9.67,18.922023,72.837727,378,414,426,481,UATD Training
00078.xml,human body,18.922,72.837624,90.0,15.91,-7.65,18.922019,72.837773,400,441,450,512,UATD Training
00079.xml,human body,18.922,72.837662,90.0,15.41,-8.09,18.92202,72.837807,398,423,442,496,UATD Training
00080.xml,human body,18.922,72.8377,90.0,15.18,-10.81,18.922026,72.837841,360,418,418,485,UATD Training
00081.xml,human body,18.922,72.837738,90.0,15.63,-7.73,18.922019,72.837885,400,432,448,502,UATD Training
00082.xml,human body,18.922,72.837776,90.0,15.26,-8.09,18.922019,72.837919,388,420,452,489,UATD Training
00083.xml,human body,18.922,72.837814,90.0,15.51,-9.84,18.922024,72.837959,376,432,424,494,UATD Training
00084.xml,human body,18.922,72.837852,90.0,15.67,-9.4,18.922023,72.837998,382,436,428,501,UATD Training
00085.xml,human body,18.922,72.83789,90.0,15.79,-8.7,18.922022,72.838038,390,439,436,506,UATD Training
00086.xml,human body,18.922,72.837928,90.0,15.51,-8.61,18.922021,72.838073,394,432,434,494,UATD Training
00087.xml,human body,18.922,72.837966,90.0,15.26,-9.93,18.922024,72.838108,374,423,424,486,UATD Training
00088.xml,human body,18.922,72.838004,90.0,15.47,-10.02,18.922024,72.838148,374,431,422,492,UATD Training
00089.xml,human body,18.922,72.838042,90.0,15.48,-10.02,18.922024,72.838186,370,426,426,498,UATD Training
00090.xml,human body,18.922,72.83808,90.0,15.53,-8.61,18.922021,72.838225,390,429,438,498,UATD Training
00091.xml,human body,18.922,72.838117,90.0,15.38,-9.32,18.922022,72.838262,384,424,428,493,UATD Training
00092.xml,human body,18.922,72.838155,90.0,15.31,-10.2,18.922024,72.838298,366,424,426,488,UATD Training
00093.xml,human body,18.922,72.838193,90.0,15.31,-8.96,18.922022,72.838337,376,418,444,494,UATD Training
00094.xml,human body,18.922,72.838231,90.0,15.38,-7.29,18.922018,72.838376,410,419,448,498,UATD Training
00095.xml,human body,18.922,72.838269,90.0,15.21,-7.65,18.922018,72.838412,402,415,448,490,UATD Training
00096.xml,human body,18.922,72.838307,90.0,15.07,-8.7,18.922021,72.838449,376,411,450,485,UATD Training
00097.xml,human body,18.922,72.838345,90.0,15.07,-9.05,18.922021,72.838487,376,411,442,485,UATD Training
00098.xml,human body,18.922,72.838383,90.0,15.35,-8.79,18.922021,72.838527,376,422,448,493,UATD Training
00099.xml,human body,18.922,72.838421,90.0,15.72,-8.26,18.92202,72.838569,386,436,450,504,UATD Training
00100.xml,human body,18.922,72.838459,90.0,15.41,-6.5,18.922016,72.838605,412,418,464,501,UATD Training
00101.xml,human body,18.922,72.838497,90.0,15.02,-6.42,18.922015,72.838639,412,414,466,478,UATD Training
00102.xml,human body,18.922,72.838535,90.0,15.04,-7.56,18.922018,72.838677,396,410,456,484,UATD Training
00103.xml,human body,18.922,72.838573,90.0,15.31,-9.58,18.922023,72.838716,368,412,438,500,UATD Training
00104.xml,human body,18.922,72.838611,90.0,15.54,-10.72,18.922026,72.838756,360,423,420,505,UATD Training
00105.xml,human body,18.922,72.838649,90.0,15.02,-10.11,18.922024,72.838789,372,404,422,488,UATD Training
00106.xml,human body,18.922,72.838687,90.0,15.25,-9.4,18.922022,72.83883,376,416,434,492,UATD Training
00107.xml,human body,18.922,72.838725,90.0,15.34,-9.23,18.922022,72.838869,382,418,432,496,UATD Training
00108.xml,human body,18.922,72.838763,90.0,15.22,-9.49,18.922023,72.838905,382,418,426,488,UATD Training
00109.xml,human body,18.922,72.838801,90.0,14.94,-9.76,18.922023,72.838941,374,410,428,477,UATD Training
00110.xml,human body,18.922,72.838839,90.0,15.15,-9.67,18.922023,72.838981,376,420,428,481,UATD Training
00111.xml,human body,18.922,72.838877,90.0,15.21,-10.02,18.922024,72.839019,374,420,422,485,UATD Training
00112.xml,human body,18.922,72.838915,90.0,15.37,-9.49,18.922023,72.839059,378,415,430,501,UATD Training
00113.xml,human body,18.922,72.838953,90.0,15.16,-9.49,18.922023,72.839095,380,414,428,488,UATD Training
00114.xml,human body,18.922,72.838991,90.0,15.06,-9.58,18.922023,72.839132,380,407,426,488,UATD Training
00115.xml,human body,18.922,72.839029,90.0,14.72,-9.76,18.922022,72.839167,376,395,426,477,UATD Training
00116.xml,human body,18.922,72.839067,90.0,14.59,-10.2,18.922023,72.839203,370,383,422,480,UATD Training
00117.xml,human body,18.922,72.839105,90.0,15.13,-9.49,18.922022,72.839246,376,400,432,500,UATD Training
00118.xml,human body,18.922,72.839143,90.0,14.81,-9.93,18.922023,72.839281,376,400,422,478,UATD Training
00119.xml,human body,18.922,72.839181,90.0,14.59,-9.67,18.922022,72.839317,374,387,430,476,UATD Training
00120.xml,human body,18.922,72.839219,90.0,14.58,-10.28,18.922023,72.839355,372,391,418,471,UATD Training
00121.xml,human body,18.922,72.839257,90.0,14.72,-9.23,18.922021,72.839395,380,383,434,489,UATD Training
00122.xml,human body,18.922,72.839295,90.0,15.18,-9.32,18.922022,72.839437,376,407,436,496,UATD Training
00123.xml,human body,18.922,72.839333,90.0,15.35,-9.32,18.922022,72.839476,384,419,428,496,UATD Training
00124.xml,human body,18.922,72.839371,90.0,15.03,-9.32,18.922022,72.839511,384,403,428,490,UATD Training
00125.xml,human body,18.922,72.839409,90.0,14.58,-9.23,18.922021,72.839545,386,386,428,476,UATD Training
00126.xml,human body,18.922,72.839446,90.0,14.71,-9.67,18.922022,72.839584,374,387,430,484,UATD Training
00127.xml,human body,18.922,72.839484,90.0,14.87,-9.84,18.922023,72.839624,370,395,430,486,UATD Training
00128.xml,human body,18.922,72.839522,90.0,15.03,-10.37,18.922024,72.839663,370,404,418,489,UATD Training
00129.xml,human body,18.922,72.83956,90.0,15.34,-13.54,18.922032,72.839702,300,404,416,510,UATD Training
00130.xml,human body,18.922,72.839598,90.0,16.08,-12.83,18.922032,72.839747,312,418,420,547,UATD Training
00131.xml,human body,18.922,72.839636,90.0,15.86,-13.54,18.922033,72.839783,302,403,414,547,UATD Training
00132.xml,human body,18.922,72.839674,90.0,17.55,-16.61,18.922045,72.839834,270,463,376,603,UATD Training
00133.xml,human body,18.922,72.839712,90.0,17.69,-17.05,18.922047,72.839873,268,476,368,599,UATD Training
00134.xml,human body,18.922,72.83975,90.0,17.7,-17.4,18.922048,72.839911,270,484,358,592,UATD Training
00135.xml,human body,18.922,72.839788,90.0,17.47,-18.02,18.922049,72.839946,264,488,350,572,UATD Training
00136.xml,human body,18.922,72.839826,90.0,17.55,-17.23,18.922047,72.839985,278,498,354,568,UATD Training
00137.xml,human body,18.922,72.839864,90.0,17.26,-15.56,18.922042,72.840022,296,484,374,562,UATD Training
00138.xml,human body,18.922,72.839902,90.0,16.85,-14.33,18.922038,72.840057,308,468,390,550,UATD Training
00139.xml,human body,18.922,72.83994,90.0,16.81,-14.5,18.922038,72.840095,304,480,390,535,UATD Training
00140.xml,human body,18.922,72.839978,90.0,16.52,-14.24,18.922037,72.84013,304,461,396,534,UATD Training
00141.xml,human body,18.922,72.840016,90.0,16.69,-14.06,18.922037,72.84017,318,474,386,533,UATD Training
00142.xml,human body,18.922,72.840054,90.0,16.49,-13.45,18.922035,72.840206,306,472,412,521,UATD Training
00143.xml,human body,18.922,72.840092,90.0,16.29,-13.8,18.922035,72.840242,314,464,396,515,UATD Training
00144.xml,human body,18.922,72.84013,90.0,16.21,-13.1,18.922033,72.84028,308,459,418,515,UATD Training
00145.xml,human body,18.922,72.840168,90.0,16.24,-12.04,18.922031,72.840319,326,461,424,515,UATD Training
00146.xml,human body,18.922,72.840206,90.0,15.89,-11.87,18.922029,72.840354,328,451,426,501,UATD Training
00147.xml,human body,18.922,72.840244,90.0,15.89,-11.87,18.922029,72.840392,324,451,430,501,UATD Training
00148.xml,human body,18.922,72.840282,90.0,15.83,-11.6,18.922029,72.840429,334,444,426,504,UATD Training
00149.xml,human body,18.922,72.84032,90.0,15.96,-11.07,18.922028,72.840469,358,449,414,508,UATD Training
00150.xml,human body,18.922,72.840358,90.0,15.96,-10.28,18.922026,72.840507,366,449,424,508,UATD Training
00151.xml,human body,18.922,72.840396,90.0,15.63,-10.81,18.922026,72.840542,358,426,420,508,UATD Training
00152.xml,human body,18.922,72.840434,90.0,15.21,-10.63,18.922025,72.840576,364,423,418,482,UATD Training
00153.xml,human body,18.922,72.840472,90.0,15.5,-10.9,18.922026,72.840616,364,433,412,492,UATD Training
00154.xml,human body,18.922,72.84051,90.0,15.79,-10.9,18.922027,72.840657,358,443,418,502,UATD Training
00155.xml,human body,18.922,72.840548,90.0,15.8,-10.02,18.922025,72.840695,374,441,422,505,UATD Training
00156.xml,human body,18.922,72.840586,90.0,15.58,-9.49,18.922023,72.840732,366,429,442,502,UATD Training
00157.xml,human body,18.922,72.840624,90.0,15.28,-10.37,18.922025,72.840766,362,416,426,494,UATD Training
00158.xml,human body,18.922,72.840662,90.0,15.34,-10.99,18.922026,72.840805,364,418,410,496,UATD Training
00159.xml,human body,18.922,72.8407,90.0,15.47,-10.9,18.922026,72.840844,360,427,416,496,UATD Training
00160.xml,human body,18.922,72.840738,90.0,15.64,-9.23,18.922023,72.840884,360,427,454,508,UATD Training
00161.xml,human body,18.922,72.840776,90.0,15.1,-9.32,18.922022,72.840917,382,412,430,486,UATD Training
00162.xml,human body,18.922,72.840813,90.0,15.02,-8.61,18.92202,72.840954,388,404,440,488,UATD Training
00163.xml,human body,18.922,72.840851,90.0,15.1,-8.61,18.92202,72.840993,382,400,446,498,UATD Training
00164.xml,human body,18.922,72.840889,90.0,14.64,-8.88,18.92202,72.841027,388,392,434,474,UATD Training
00165.xml,human body,18.922,72.840927,90.0,14.87,-8.88,18.922021,72.841067,384,394,438,488,UATD Training
00166.xml,human body,18.922,72.840965,90.0,15.34,-8.61,18.922021,72.841109,384,412,444,502,UATD Training
00167.xml,human body,18.922,72.841003,90.0,14.9,-8.79,18.92202,72.841143,386,404,438,480,UATD Training
00168.xml,human body,18.922,72.841041,90.0,20.74,-8.53,18.922028,72.841236,384,918,446,1008,UATD Training
00169.xml,human body,18.922,72.841079,90.0,20.6,-8.79,18.922028,72.841273,380,904,444,1008,UATD Training
00170.xml,human body,18.922,72.841117,90.0,20.7,-9.23,18.92203,72.841311,376,912,438,1010,UATD Training
00171.xml,human body,18.922,72.841155,90.0,20.56,-8.96,18.922029,72.841348,382,910,438,998,UATD Training
00172.xml,human body,18.922,72.841193,90.0,20.77,-8.61,18.922028,72.841388,384,922,444,1008,UATD Training
00173.xml,human body,18.922,72.841231,90.0,20.5,-8.88,18.922028,72.841423,382,904,440,998,UATD Training
00174.xml,human body,18.922,72.841269,90.0,20.87,-7.91,18.922026,72.841465,394,926,450,1014,UATD Training
00175.xml,human body,18.922,72.841307,90.0,20.58,-9.32,18.92203,72.8415,376,910,436,999,UATD Training
00176.xml,human body,18.922,72.841345,90.0,20.6,-9.05,18.922029,72.841538,382,908,436,1003,UATD Training
00177.xml,human body,18.922,72.841383,90.0,20.89,-8.61,18.922028,72.841579,388,924,440,1018,UATD Training
00178.xml,human body,18.922,72.841421,90.0,20.62,-9.4,18.92203,72.841614,382,914,428,1000,UATD Training
00179.xml,human body,18.922,72.841459,90.0,20.68,-8.79,18.922028,72.841653,382,912,442,1008,UATD Training
00180.xml,human body,18.922,72.841497,90.0,20.79,-9.4,18.922031,72.841692,376,912,434,1020,UATD Training
00181.xml,human body,18.922,72.841535,90.0,20.54,-8.96,18.922029,72.841728,388,908,432,997,UATD Training
00182.xml,human body,18.922,72.841573,90.0,20.78,-9.49,18.922031,72.841767,380,914,428,1015,UATD Training
00183.xml,human body,18.922,72.841611,90.0,20.64,-8.7,18.922028,72.841805,392,910,434,1005,UATD Training
00184.xml,human body,18.922,72.841649,90.0,20.6,-9.14,18.922029,72.841842,380,910,436,1002,UATD Training
00185.xml,human body,18.922,72.841687,90.0,20.54,-8.7,18.922028,72.84188,392,906,434,1000,UATD Training
00186.xml,human body,18.922,72.841725,90.0,20.81,-9.32,18.92203,72.84192,382,918,430,1016,UATD Training
00187.xml,human body,18.922,72.841763,90.0,20.85,-9.58,18.922031,72.841958,382,926,424,1012,UATD Training
00188.xml,human body,18.922,72.841801,90.0,20.95,-8.26,18.922027,72.841998,400,928,436,1020,UATD Training
00189.xml,human body,18.922,72.841839,90.0,20.77,-9.93,18.922032,72.842033,370,930,428,1000,UATD Training
00190.xml,human body,18.922,72.841877,90.0,21.05,-8.17,18.922027,72.842074,392,942,446,1016,UATD Training
00191.xml,human body,18.922,72.841915,90.0,20.81,-8.09,18.922026,72.84211,394,924,446,1010,UATD Training
00192.xml,human body,18.922,72.841953,90.0,20.84,-9.23,18.92203,72.842148,376,932,438,1003,UATD Training
00193.xml,human body,18.922,72.841991,90.0,20.95,-8.0,18.922026,72.842188,392,936,450,1012,UATD Training
00194.xml,human body,18.922,72.842029,90.0,20.7,-8.17,18.922026,72.842223,380,924,458,998,UATD Training
00195.xml,human body,18.922,72.842067,90.0,20.83,-8.35,18.922027,72.842262,386,928,448,1008,UATD Training
00196.xml,human body,18.922,72.842105,90.0,20.83,-7.91,18.922026,72.8423,386,924,458,1012,UATD Training
00197.xml,human body,18.922,72.842142,90.0,20.93,-9.49,18.922031,72.842338,370,934,438,1011,UATD Training
00198.xml,human body,18.922,72.84218,90.0,20.95,-8.44,18.922028,72.842377,388,936,444,1012,UATD Training
00199.xml,human body,18.922,72.842218,90.0,21.05,-9.05,18.92203,72.842416,374,944,444,1014,UATD Training
00200.xml,human body,18.922,72.842256,90.0,20.89,-9.05,18.92203,72.842452,366,930,452,1012,UATD Training
00201.xml,human body,18.921729,72.827106,270.0,21.09,-9.14,18.921699,72.826908,372,948,444,1014,UATD Training
00202.xml,human body,18.921729,72.827144,270.0,21.12,-9.14,18.921699,72.826946,384,948,432,1018,UATD Training
00203.xml,human body,18.921729,72.827182,270.0,20.81,-8.88,18.9217,72.826986,382,926,440,1008,UATD Training
00204.xml,human body,18.921729,72.82722,270.0,21.1,-8.0,18.921702,72.827021,390,934,452,1029,UATD Training
00205.xml,human body,18.921729,72.827258,270.0,20.76,-8.7,18.9217,72.827063,378,920,448,1007,UATD Training
00206.xml,human body,18.921729,72.827295,270.0,21.03,-6.94,18.921706,72.827097,404,928,462,1028,UATD Training
